Place,Classification,Y2000,Y2011
Arima,Bor,"32,278","33,606"
Scarborough,UCom,980,"1,167"
Rio Claro,UCom,"3,305","3,821"
Chaguanas,Bor,"67,433","83,516"
Couva,UCom,"2,739","3,861"
Siparia,UCom,"5,680","6,170"
Princes Town,UCom,"7,062","9,233"
Barataria,UCom,"8,579","9,389"
Petit Valley,UCom,"8,140","9,405"
Gasparillo,UCom,"9,596","9,925"
La Romain,UCom,"9,598","10,129"
Freeport,UCom,"9,486","10,608"
Maloney Gardens,UCom,"8,895","10,768"
Laventille,UCom,"10,576","11,311"
Point Fortin,Bor,"19,056","20,235"
Port of Spain,City,"49,031","37,074"
Arouca,UCom,"8,132","12,530"
La Horquetta,UCom,"11,832","13,614"
San Fernando,City,"55,419","48,838"
Penal,UCom,"12,281","13,873"
San Juan,UCom,"13,797","15,772"
Tunapuna,UCom,"13,325","16,701"
Morvant,UCom,"15,366","17,591"
Sangre Grande,UCom,"15,870","20,710"
